,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
总计,57826544,28584834,29241710,2217467,1093308,1124159,1561063,763998,797065,1775378,871934,903444,1739235,854397,884838,1895430,931686,963744,2361258,1168570,1192688,2326196,1148279,1177917,2218587,1096391,1122196,2341323,1161143,1180180,2189526,1087131,1102395,2498940,1248388,1250552,1719650,849645,870005,1992191,986490,1005701,1945221,963817,981404,1911487,946167,965320,2085518,1041067,1044451,1890251,939609,950642,1733505,861359,872146,1959387,979426,979961,1625602,810915,814687,1852646,928122,924524,1429103,709069,720034,1499384,742868,756516,1628258,805650,822608,1666099,823388,842711,1696516,839804,856712,1728433,849005,879428,1638637,800861,837776,1965500,953561,1011939,1823350,882901,940449,911403,445885,465518
14,60519,18184,42335,5007,1623,3384,2571,802,1769,3032,971,2061,2868,908,1960,2649,865,1784,3133,1002,2131,2613,820,1793,2724,881,1843,3216,1032,2184,3260,1044,2216,4759,1595,3164,2372,749,1623,2248,703,1545,1945,597,1348,1655,490,1165,1585,402,1183,1358,365,993,1288,333,955,1639,436,1203,1720,475,1245,2656,789,1867,1261,321,940,1064,241,823,903,201,702,777,162,615,533,91,442,419,76,343,419,87,332,414,60,354,321,51,270,110,12,98
15-19岁,7437383,2124730,5312653,263810,65311,198499,220385,56173,164212,324426,90155,234271,314753,92140,222613,326428,97637,228791,391214,120384,270830,383911,119560,264351,378375,120272,258103,412694,133145,279549,380030,124021,256009,431139,140275,290864,263998,82943,181055,271579,81689,189890,235740,68327,167413,214420,60380,154040,211870,59397,152473,176866,48145,128721,157772,41578,116194,184523,47845,136678,160175,42067,118108,190353,49770,140583,144431,35362,109069,147045,35895,111150,149303,35290,114013,158297,37031,121266,173232,41901,131331,171256,42078,129178,167614,42748,124866,194601,50530,144071,168561,44522,124039,68582,18159,50423
15,293751,76094,217657,19416,5031,14385,11311,3144,8167,12976,3375,9601,13106,3519,9587,15111,4196,10915,17324,4866,12458,13425,3536,9889,12235,3359,8876,14641,4077,10564,14400,4046,10354,19188,5811,13377,10843,3170,7673,10597,3023,7574,8718,2415,6303,8608,2262,6346,9169,2442,6727,6757,1550,5207,6400,1440,4960,7895,1779,6116,7380,1786,5594,10385,2689,7696,6427,1405,5022,6643,1399,5244,6254,1297,4957,5409,1008,4401,5309,976,4333,3411,571,2840,2942,521,2421,3550,630,2920,2907,561,2346,1014,210,804
16,532732,132689,400043,32696,7542,25154,18616,4603,14013,23505,6014,17491,21758,5381,16377,23775,5950,17825,32774,9111,23663,28260,7652,20608,25035,6664,18371,26007,7245,18762,26600,7455,19145,31531,9143,22388,17544,5045,12499,18917,5158,13759,15670,4155,11515,13502,3323,10179,15972,4196,11776,12731,3131,9600,10486,2278,8208,13552,2954,10598,12669,2858,9811,15380,3799,11581,10637,2301,8336,11397,2330,9067,11960,2414,9546,11509,2252,9257,11443,2248,9195,10496,1984,8512,8630,1603,7027,9085,1814,7271,7876,1553,6323,2719,533,2186
17,1035510,267533,767977,58065,12941,45124,37387,8691,28696,43539,10906,32633,43157,11346,31811,43885,11525,32360,55137,15075,40062,59982,16823,43159,53293,15283,38010,54586,15676,38910,50010,14779,35231,60872,18273,42599,34396,9886,24510,34944,9626,25318,30321,8044,22277,26668,7091,19577,26310,6935,19375,24337,6320,18017,20929,5290,15639,23262,5310,17952,22698,5363,17335,28274,7045,21229,18516,4207,14309,19607,4320,15287,21126,4537,16589,23602,4962,18640,24475,5309,19166,22156,4824,17332,23306,5290,18016,24080,5600,18480,18749,4410,14339,7841,1846,5995
18,1921182,533818,1387364,65014,14963,50051,69954,17037,52917,85288,22073,63215,78314,21733,56581,86266,24657,61609,97501,28420,69081,101029,30091,70938,107555,32993,74562,107415,33129,74286,100081,31776,68305,109752,35096,74656,69029,21366,47663,67859,19719,48140,58610,16397,42213,53255,14813,38442,50122,14108,36014,41730,11083,30647,40381,10660,29721,44949,11535,33414,37178,9488,27690,49358,12545,36813,35547,8681,26866,34926,8373,26553,37402,8756,28646,41044,9680,31364,46978,11387,35591,45058,11171,33887,43695,11239,32456,56448,14829,41619,43056,11538,31518,16388,4482,11906
19,3654208,1114596,2539612,88619,24834,63785,83117,22698,60419,159118,47787,111331,158418,50161,108257,157391,51309,106082,188478,62912,125566,181215,61458,119757,180257,61973,118284,210045,73018,137027,188939,65965,122974,209796,71952,137844,132186,43476,88710,139262,44163,95099,122421,37316,85105,112387,32891,79496,110297,31716,78581,91311,26061,65250,79576,21910,57666,94865,26267,68598,80250,22572,57678,86956,23692,63264,73304,18768,54536,74472,19473,54999,72561,18286,54275,76733,19129,57604,85027,21981,63046,90135,23528,66607,89041,24095,64946,101438,27657,73781,95973,26460,69513,40620,11088,29532
20-24岁,33960035,15868249,18091786,1235095,568840,666255,853971,390430,463541,914715,428981,485734,930405,433152,497253,1106841,520163,586678,1464701,704335,760366,1521321,741611,779710,1458839,719944,738895,1483090,732875,750215,1381047,679683,701364,1581065,782869,798196,1118969,539420,579549,1319335,633913,685422,1293558,616505,677053,1253827,591469,662358,1324746,624441,700305,1171959,542969,628990,1034918,474561,560357,1119791,515485,604306,922034,421198,500836,1024506,467765,556741,787890,353361,434529,832906,371803,461103,898055,399929,498126,900942,402317,498625,891551,401901,489650,885460,391636,493824,834099,367353,466746,992019,430388,561631,944493,411314,533179,477887,207638,270249
20,5566091,1878093,3687998,144212,49413,94799,98894,31735,67159,156903,53493,103410,240559,88396,152163,251832,93428,158404,274852,102992,171860,283756,108200,175556,252982,97144,155838,278869,107254,171615,286809,111463,175346,307931,118212,189719,208067,75913,132154,216214,75809,140405,201480,67820,133660,186097,59934,126163,181654,56781,124873,159425,48435,110990,133548,39148,94400,146920,43667,103253,136093,40763,95330,144189,43402,100787,110190,31004,79186,127911,36164,91747,127260,36130,91130,123151,34810,88341,127435,36823,90612,131948,37849,94099,142411,41423,100988,164019,48431,115588,144923,41793,103130,75557,20264,55293
