region,total15,total15man,total15fe,notmtotal,notmman,notmwom,poutotal,pouman,pouwom,lihtotal,lihunnan,lihunwom,soutotal,souman,souwom
全国,105542243,52943450,52598793,22792800,13072317,9720483,75287859,37255009,38032850,1456283,814364,641919,6005301,1801760,4203541
北京,1683936,853989,829947,441592,240799,200793,1146869,583608,563261,31017,13352,17665,64458,16230,48228
天津,1002376,514860,487516,230422,128591,101831,709067,365306,343761,15442,7162,8280,47445,13801,33644
河北,5834172,2908777,2925395,1190621,659464,531157,4287295,2119688,2167607,55677,34094,21583,300579,95531,205048
山西,2875002,1455922,1419080,649273,367875,281398,2050731,1024451,1026280,30794,19671,11123,144204,43925,100279
内蒙古,1978474,1012295,966179,371091,218674,152417,1483349,749171,734178,29268,16407,12861,94766,28043,66723
辽宁,3758493,1878201,1880292,714427,404792,309635,2722496,1354359,1368137,106526,54261,52265,215044,64789,150255
吉林,2235899,1121232,1114667,434799,245438,189361,1613578,801539,812039,64446,34803,29643,123076,39452,83624
黑龙江,3037416,1525783,1511633,561872,317031,244841,2221556,1107380,1114176,88710,48105,40605,165278,53267,112011
上海,2052771,1044505,1008266,439304,246813,192491,1484064,757811,726253,41070,19445,21625,88333,20436,67897
江苏,6569375,3241556,3327819,1253715,703478,550237,4856390,2388092,2468298,73878,41815,32063,385392,108171,277221
浙江,4670702,2372829,2297873,901314,529979,371335,3473628,1749718,1723910,61086,34610,26476,234674,58522,176152
安徽,4300760,2116499,2184261,836138,477660,358478,3149304,1528633,1620671,42512,25964,16548,272806,84242,188564
福建,2924159,1469983,1454176,671797,384175,287622,2063142,1027834,1035308,30949,18074,12875,158271,39900,118371
江西,3305199,1653147,1652052,709337,411348,297989,2372276,1168753,1203523,35726,21704,14022,187860,51342,136518
山东,7779717,3856622,3923095,1470047,817937,652110,5788458,2862548,2925910,62242,37347,24895,458970,138790,320180
河南,7248069,3545580,3702489,1628960,899057,729903,5142657,2473871,2668786,65650,40601,25049,410802,132051,278751
湖北,4460629,2233792,2226837,946283,553241,393042,3188005,1563100,1624905,55425,31421,24004,270916,86030,184886
湖南,4989317,2506462,2482855,1021150,602282,418868,3562672,1756419,1806253,72299,43440,28859,333196,104321,228875
广东,8010839,4102831,3908008,2519144,1426409,1092735,5094474,2562273,2532201,64814,33510,31304,332407,80639,251768
广西,3365909,1708272,1657637,800368,487927,312441,2296627,1130402,1166225,39214,23555,15659,229700,66388,163312
海南,655392,336522,318870,182575,108999,73576,434730,216210,218520,5379,3098,2281,32708,8215,24493
重庆,2149383,1066695,1082688,398558,233569,164989,1548958,757378,791580,46302,25051,21251,155565,50697,104868
四川,6731515,3364517,3366998,1326554,780444,546110,4799597,2353793,2445804,118731,67776,50955,486633,162504,324129
贵州,2471843,1250892,1220951,494275,299268,195007,1769896,874302,895594,37069,21724,15345,170603,55598,115005
云南,3512312,1795180,1717132,746903,462448,284455,2506853,1241724,1265129,50253,27666,22587,208303,63342,144961
西藏,199755,100229,99526,68184,37547,30637,113521,56917,56604,4644,1449,3195,13406,4316,9090
陕西,3068634,1551941,1516693,733201,423078,310123,2128504,1051097,1077407,33754,20964,12790,173175,56802,116373
甘肃,2131599,1067648,1063951,495825,281886,213939,1485444,729194,756250,22886,13753,9133,127444,42815,84629
青海,420779,214361,206418,94104,55409,38695,292150,146655,145495,10806,5128,5678,23719,7169,16550
宁夏,477813,241024,236789,96358,54397,41961,355150,178160,176990,6899,3371,3528,19406,5096,14310
新疆,1640004,831304,808700,364609,212302,152307,1146418,574623,571795,52815,25043,27772,76162,19336,56826
