年龄,总计,总计男,总计女,总计15小,15小男,15小女,总计15,总计15男,总计15女,总计16,总计16男,总计16女,总计17,总计17男,总计17女,总计18,总计18男,总计18女,总计19,总计19男,总计19女,总计20,总计20男,总计19女,总计21,总计21男,总计21女,总计22,总计22男,总计22女,总计23,总计23男,总计23女,总计24,总计24男,总计24女,总计25,总计25男,总计25女,总计26,总计26男,总计26女,总计27,总计27男,总计27女,总计28,总计28男,总计28女,总计29,总计29男,总计29女,总计30,总计30男,总计30女,总计31,总计31男,总计31女,总计32,总计32男,总计32女,总计33,总计33男,总计33女,总计34,总计34男,总计34女,总计35,总计35男,总计35女,总计36,总计36男,总计36女,总计37,总计37男,总计37女,总计38,总计38男,总计38女,总计39,总计39男,总计39女,总计40,总计40男,总计40女
总计,82749443,39871133,42878310,141858,35461,106397,674821,143785,531036,1180728,245971,934757,2157779,484395,1673384,3592316,924805,2667511,6391186,1982778,4408408,8837210,3111006,5726204,10177957,4452251,5725706,10968019,5456228,5511791,9568582,4884503,4684079,7899390,4357450,3541940,6111149,3634154,2476995,4332202,2731931,1600271,3042260,2020584,1021676,2093753,1443063,650690,1479132,1042114,437018,1040761,739832,300929,723343,515202,208141,536682,382318,154364,398274,284001,114273,301108,214535,86573,226997,162664,64333,171445,122857,48588,131854,94586,37268,103548,74295,29253,84973,60866,24107,382116,269498,112618
19,121592,28673,92919,2091,388,1703,11757,2136,9621,23127,4527,18600,36646,8489,28157,35550,9481,26069,12421,3652,8769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24岁,2906278,1013377,1892901,7001,1815,5186,28897,5733,23164,56384,11059,45325,118358,26004,92354,237685,60049,177636,448647,119980,328667,606923,173155,433768,604435,235378,369057,508046,242072,265974,241386,114465,126921,48516,23667,24849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,209825,52879,156946,824,174,650,4308,746,3562,9997,1830,8167,25252,5794,19458,52671,13850,38821,78343,21063,57280,38430,9422,29008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,353931,96142,257789,1183,296,887,5596,1065,4531,11074,2145,8929,22746,5084,17662,49843,13045,36798,97718,26674,71044,124758,34444,90314,41013,13389,27624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,543391,178775,364616,1387,337,1050,5663,1099,4564,11217,2224,8993,22522,4847,17675,42984,10700,32284,91532,24760,66772,148212,42558,105654,161124,62187,98937,58750,30063,28687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,838697,311260,527437,1764,479,1285,6624,1425,5199,12286,2483,9803,25030,5436,19594,47778,11962,35816,93505,24926,68579,158469,47106,111363,214641,85303,129338,219861,104166,115695,58739,27974,30765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,960434,374321,586113,1843,529,1314,6706,1398,5308,11810,2377,9433,22808,4843,17965,44409,10492,33917,87549,22557,64992,137054,39625,97429,187657,74499,113158,229435,107843,121592,182647,86491,96156,48516,23667,24849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29岁,6595485,2938087,3657398,7668,2015,5653,38653,9224,29429,62970,14142,48828,111221,25862,85359,195784,47896,147888,379976,97686,282290,622197,177297,444900,844135,338062,506073,1037107,496221,540886,966507,469350,497157,860687,439840,420847,670082,357403,312679,438822,246269,192553,247249,146511,100738,96143,59870,36273,16284,10439,5845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1017983,418978,599005,1851,504,1347,8461,2118,6343,10830,2278,8552,19907,4287,15620,38260,9093,29167,79209,20100,59109,124327,35862,88465,160699,64480,96219,195439,93279,102160,189414,91084,98330,148215,74280,73935,41371,21613,19758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1169804,501667,668137,1444,346,1098,9039,2218,6821,13011,3040,9971,19217,4292,14925,36491,8557,27934,74962,18885,56077,127341,36500,90841,164088,66170,97918,193914,92287,101627,181628,88384,93244,174005,88467,85538,137969,72654,65315,36695,19867,16828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1289966,573065,716901,1406,357,1049,7428,1772,5656,13994,3317,10677,22315,5396,16919,33849,8301,25548,70726,18219,52507,120489,34005,86484,166906,66703,100203,197102,94845,102257,180176,86809,93367,166126,85052,81074,158942,84210,74732,118734,65685,53049,31773,18394,13379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1621031,743125,877906,1488,402,1086,7440,1646,5794,13958,3105,10853,27636,6692,20944,44572,11036,33536,77692,20073,57619,135011,38324,96687,191007,76028,114979,239125,114593,124532,216457,105959,110498,196933,100957,95976,176475,94700,81775,156412,88077,68335,109397,64494,44903,27428,17039,10389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1496701,701252,795449,1479,406,1073,6285,1470,4815,11177,2402,8775,22146,5195,16951,42612,10909,31703,77387,20409,56978,115029,32606,82423,161435,64681,96754,211527,101217,110310,198832,97114,101718,175408,91084,84324,155325,84226,71099,126981,72640,54341,106079,63623,42456,68715,42831,25884,16284,10439,5845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
