½ÌÓý³Ì¶È,×ÜÊý15,ÄÐ15,Å®15,Î´»é×ÜÊý,Î´»éÄÐ,Î´»éÅ®,ÅäÅ¼×ÜÊý,ÅäÅ¼ÄÐ,ÅäÅ¼Å®,Àë»é×ÜÊý,Àë»éÄÐ,Àë»éÅ®,É¥Å¼×ÜÊý,É¥Å¼ÄÐ,É¥Å¼Å®
×Ü¼Æ,105542243,52943450,52598793,22792800,13072317,9720483,75287859,37255009,38032850,1456283,814364,641919,6005301,1801760,4203541
15-19Ëê,9190962,4782846,4408116,9069370,4754173,4315197,120533,28400,92133,937,239,698,122,34,88
15,1725119,915365,809754,1724511,915233,809278,598,129,469,7,1,6,3,2,1
16,1745835,914091,831744,1742651,913488,829163,3157,596,2561,24,6,18,3,1,2
17,1890104,980745,909359,1878604,978470,900134,11395,2251,9144,82,18,64,23,6,17
18,1888012,977703,910309,1854819,970397,884422,32916,7237,25679,251,61,190,26,8,18
19,1941892,994942,946950,1868785,976585,892200,72467,18187,54280,573,153,420,67,17,50
20-24Ëê,11604416,5771671,5832745,8698138,4758294,3939844,2879902,1001960,1877942,23543,10595,12948,2833,822,2011
20,2541160,1278946,1262214,2331335,1226067,1105268,208146,52328,155818,1508,509,999,171,42,129
21,2403729,1198471,1205258,2049798,1102329,947469,351083,95083,256000,2512,963,1549,336,96,240
22,2237240,1110893,1126347,1693849,932118,761731,538738,176836,361902,4121,1790,2331,532,149,383
23,2343655,1160921,1182734,1504958,849661,655297,831477,308002,523475,6442,3032,3410,778,226,552
24,2078632,1022440,1056192,1118198,648119,470079,950458,369711,580747,8960,4301,4659,1016,309,707
25-29Ëê,9278248,4611961,4666287,2682763,1673874,1008889,6498348,2888735,3609613,87451,46195,41256,9686,3157,6529
25,1825649,901688,923961,807666,482710,324956,1006251,413382,592869,10482,5191,5291,1250,405,845
26,1807286,894211,913075,637482,392544,244938,1154975,494224,660751,13317,6951,6366,1512,492,1020
27,1784563,885861,898702,494597,312796,181801,1271543,563675,707868,16631,8784,7847,1792,606,1186
28,2061870,1028817,1033053,440839,285692,155147,1595207,729922,865285,23301,12405,10896,2523,798,1725
