Name,Add,Lb,long,lat
浙江国药大药房有限公司解放路连锁店,杭州市解放路160号一楼,二级 乙等,30.25642577,120.1763403
浙江九洲大药房连锁有限公司文华店,杭州市文一西路233号,二级 乙等,30.29246823,120.1077033
浙江九洲大药房连锁有限公司文三店,杭州市文三路451号,二级 乙等,30.28289692,120.1344242
杭州张同泰药业有限公司,杭州市中山北路99号,二级 乙等,30.26602838,120.1758477
杭州华东大药房连锁有限公司中心连锁店,杭州市上塘路202-208号,二级 乙等,30.29294752,120.1726246
杭州华东大药房连锁有限公司存仁堂连锁店,杭州市庆春路127号,二级 乙等,30.26341561,120.1820568
杭州华东大药房连锁有限公司世缘连锁店,杭州市湖墅南路591号,二级 乙等,30.2975223,120.1548345
浙江天天好大药房有限公司三墩店,杭州市古墩路1037号,二级 乙等,30.3290143,120.0980593
杭州华东武林大药房有限公司莲花港分店,杭州市莲花港家园13幢33号,二级 乙等,30.29641531,120.1162024
杭州华东武林大药房有限公司翠苑分店,杭州市万塘路108号,二级,30.28246807,120.1311103
杭州华东武林大药房有限公司临平保健路分店,杭州市临平保健路110号,二级,30.4296712,120.3060501
杭州华东武林大药房有限公司糖尿病专业药房,杭州市朝晖路59号,二级,30.28502213,120.1874588
杭州华东武林大药房有限公司下沙迎春路分店,杭州市迎春路5号,二级,30.25924446,120.2193754
杭州华东武林大药房有限公司嘉绿苑分店,杭州市嘉绿苑西33幢底层,二级,30.28531021,120.1171779
杭州华东武林大药房有限公司肿瘤药房,杭州市庆春路66号,二级,30.26384529,120.1842178
浙江英特怡年药房连锁有限公司延寿堂店,杭州市拱墅区温州路35号二楼,二级 乙等,30.3271915,120.1508172
浙江国药大药房有限公司杭州天目山路连锁店,杭州市天目山路45号,二级 乙等,30.27793934,120.1571342
杭州胡庆余堂国药号有限公司叶总德堂药店,杭州市上城区中山中路49号,二级 乙等,30.24513951,120.1773637
杭州华东大药房连锁有限公司康佳连锁店,杭州市体育场路273号,二级 乙等,30.27562248,120.1730282
杭州华东武林大药房有限公司建国北路分店,杭州市建国北路420号,二级 乙等,30.27373654,120.187281
老百姓大药房连锁（浙江）有限公司国都店,杭州市朝晖路182号,二级 乙等,30.28281716,120.1757967
杭州布衣大药房连锁有限公司,杭州市下城区凤起路91号,二级 乙等,30.26966627,120.1891294
浙江同一大药房连锁有限公司文一路连锁店,杭州市文一路69-71号,二级 乙等,30.29462456,120.1497265
杭州千家惠药房有限公司,杭州市滨江区月明路1118号,二级 乙等,30.20678824,120.2138672
浙江天天好大药房有限公司莫干山店,杭州市莫干山路493号,二级 乙等,30.29269891,120.1509073
杭州环龙药店有限公司,杭州上城区解放路92号,二级 乙等,30.25675574,120.1826771
杭州海王星辰健康药房有限公司保俶店,杭州市西湖区保叔路105号,二级 乙等,30.20703617,120.0889929
浙江九洲大药房连锁有限公司大关分店,杭州大关香积寺路225号五楼,二级 乙等,30.30935907,120.1654422
杭州永丰堂大药房,杭州市上城区孝子坊24号,二级 乙等,30.24410885,120.1659049
