city,district,season,се,PM2.5,PM10,O3,NO2,SO2,CO
1,4,1,0,63.52941176,32.94117647,3.529411765,0,0,0
2,1,1,0,36.25,50,13.75,0,0,0
3,2,1,3.529411765,1.176470588,90.58823529,1.176470588,0,3.529411765,0
4,7,1,1.19047619,25,67.85714286,4.761904762,0,0,1.19047619
5,2,1,1.204819277,34.93975904,59.03614458,2.409638554,0,0,2.409638554
6,5,1,40.74074074,4.938271605,37.03703704,17.28395062,0,0,0
7,2,1,7.058823529,47.05882353,24.70588235,15.29411765,5.882352941,0,0
8,1,1,5.952380952,29.76190476,22.61904762,16.66666667,0,0,25
9,4,1,12.04819277,66.26506024,10.84337349,9.638554217,0,1.204819277,0
10,3,1,1.176470588,65.88235294,16.47058824,14.11764706,1.176470588,1.176470588,0
11,6,1,1.162790698,54.65116279,18.60465116,22.09302326,3.488372093,0,0
12,2,1,4.938271605,4.938271605,87.65432099,2.469135802,0,0,0
13,1,1,3.529411765,34.11764706,47.05882353,7.058823529,7.058823529,1.176470588,0
14,2,1,8.641975309,3.703703704,70.37037037,2.469135802,0,0,14.81481481
15,6,1,5.882352941,51.76470588,16.47058824,23.52941176,1.176470588,1.176470588,0
16,3,1,10.71428571,7.142857143,32.14285714,32.14285714,17.85714286,0,0
17,1,1,5.952380952,21.42857143,55.95238095,16.66666667,0,0,0
18,5,1,8.536585366,34.14634146,3.658536585,9.756097561,43.90243902,0,0
19,6,1,21.68674699,38.55421687,33.73493976,6.024096386,0,0,0
20,5,1,16.25,76.25,3.75,3.75,0,0,0
21,1,1,11.76470588,16.47058824,34.11764706,3.529411765,34.11764706,0,0
22,5,1,85.88235294,0,8.235294118,1.176470588,0,4.705882353,0
23,2,1,0,51.76470588,41.17647059,4.705882353,2.352941176,0,0
24,3,1,2.409638554,49.39759036,24.09638554,12.04819277,12.04819277,0,0
25,3,1,1.219512195,86.58536585,12.19512195,0,0,0,0
26,2,1,3.846153846,1.282051282,94.87179487,0,0,0,0
27,3,1,3.409090909,53.40909091,6.818181818,21.59090909,11.36363636,3.409090909,0
28,1,1,9.756097561,29.26829268,46.34146341,14.63414634,0,0,0
29,3,1,0,30.12048193,49.39759036,18.07228916,2.409638554,0,0
30,3,1,0,43.52941176,32.94117647,23.52941176,0,0,0
31,4,1,0,46.34146341,40.24390244,13.41463415,0,0,0
32,7,1,0,0,61.72839506,37.03703704,0,0,1.234567901
33,1,1,0,36.9047619,38.0952381,17.85714286,1.19047619,5.952380952,0
34,4,1,1.162790698,69.76744186,19.76744186,6.976744186,0,2.325581395,0
35,3,1,24.69135802,8.641975309,65.43209877,0,1.234567901,0,0
36,4,1,0,58.33333333,39.28571429,1.19047619,0,0,1.19047619
37,7,1,13.25301205,16.86746988,57.8313253,10.84337349,0,0,1.204819277
38,6,1,4.597701149,13.79310345,56.32183908,25.28735632,0,0,0
39,6,1,7.142857143,1.19047619,23.80952381,67.85714286,0,0,0
40,7,1,3.703703704,2.469135802,85.18518519,0,8.641975309,0,0
41,3,1,3.571428571,39.28571429,38.0952381,19.04761905,0,0,0
42,2,1,2.352941176,58.82352941,29.41176471,0,0,0,9.411764706
43,5,1,10.84337349,68.6746988,7.228915663,13.25301205,0,0,0
44,6,1,6.097560976,58.53658537,13.41463415,21.95121951,0,0,0
45,4,1,0,42.85714286,33.33333333,20.23809524,3.571428571,0,0
46,3,1,2.409638554,63.85542169,33.73493976,0,0,0,0
47,6,1,10.58823529,44.70588235,18.82352941,21.17647059,4.705882353,0,0
48,1,1,10.34482759,39.08045977,34.48275862,16.09195402,0,0,0
49,3,1,21.59090909,38.63636364,36.36363636,3.409090909,0,0,0
50,6,1,3.488372093,74.41860465,22.09302326,0,0,0,0
51,3,1,2.352941176,41.17647059,20,31.76470588,4.705882353,0,0
52,5,1,10.46511628,29.06976744,53.48837209,6.976744186,0,0,0
53,3,1,3.529411765,55.29411765,16.47058824,23.52941176,1.176470588,0,0
54,3,1,9.638554217,24.09638554,7.228915663,44.57831325,14.45783133,0,0
55,6,1,1.219512195,12.19512195,86.58536585,0,0,0,0
56,4,1,0,55.95238095,33.33333333,10.71428571,0,0,0
57,1,1,40.24390244,12.19512195,41.46341463,1.219512195,4.87804878,0,0
58,2,1,3.571428571,27.38095238,55.95238095,5.952380952,7.142857143,0,0
59,3,1,1.204819277,28.91566265,33.73493976,33.73493976,2.409638554,0,0
60,6,1,7.407407407,27.16049383,28.39506173,37.03703704,0,0,0
61,3,1,13.25301205,6.024096386,78.31325301,2.409638554,0,0,0
62,3,1,2.380952381,33.33333333,39.28571429,22.61904762,1.19047619,0,1.19047619
63,4,1,0,40.47619048,44.04761905,15.47619048,0,0,0
64,3,1,9.523809524,26.19047619,17.85714286,26.19047619,20.23809524,0,0
65,5,1,17.20430108,41.93548387,24.7311828,16.12903226,0,0,0
66,3,1,3.448275862,47.12643678,6.896551724,33.33333333,9.195402299,0,0
67,5,1,25.6097561,50,3.658536585,6.097560976,0,0,14.63414634
68,3,1,2.352941176,47.05882353,7.058823529,17.64705882,25.88235294,0,0
69,5,1,46.34146341,14.63414634,14.63414634,6.097560976,18.29268293,0,0
70,1,1,2.564102564,34.61538462,46.15384615,14.1025641,2.564102564,0,0
71,2,1,0,51.11111111,40,2.222222222,0,6.666666667,0
72,7,1,1.315789474,5.263157895,59.21052632,34.21052632,0,0,0
73,3,1,1.111111111,65.55555556,7.777777778,8.888888889,8.888888889,7.777777778,0
74,2,1,0,19.54022989,77.01149425,2.298850575,1.149425287,0,0
75,3,1,3.571428571,40.47619048,55.95238095,0,0,0,0
76,2,1,0,50,31.39534884,15.11627907,3.488372093,0,0
77,2,1,1.149425287,54.02298851,28.73563218,5.747126437,9.195402299,1.149425287,0
78,7,1,1.219512195,30.48780488,59.75609756,8.536585366,0,0,0
79,3,1,0,14.11764706,18.82352941,67.05882353,0,0,0
80,7,1,1.219512195,36.58536585,60.97560976,0,1.219512195,0,0
81,3,1,2.325581395,20.93023256,4.651162791,15.11627907,56.97674419,0,0
82,7,1,4.819277108,19.27710843,72.28915663,0,3.614457831,0,0
83,3,1,1.123595506,57.30337079,19.1011236,16.85393258,5.617977528,0,0
84,3,1,0,47.56097561,52.43902439,0,0,0,0
85,4,1,4.597701149,63.2183908,21.83908046,4.597701149,5.747126437,0,0
86,7,1,0,25.6097561,74.3902439,0,0,0,0
87,7,1,0,28.23529412,71.76470588,0,0,0,0
88,7,1,0,31.3253012,53.01204819,13.25301205,2.409638554,0,0
89,4,1,4.87804878,58.53658537,28.04878049,6.097560976,2.43902439,0,0
90,3,1,0,50,38.0952381,11.9047619,0,0,0
91,3,1,0,37.20930233,24.41860465,30.23255814,8.139534884,0,0
92,7,1,1.219512195,7.317073171,85.36585366,1.219512195,0,0,4.87804878
93,3,1,2.380952381,67.85714286,23.80952381,5.952380952,0,0,0
94,2,1,0,26.25,73.75,0,0,0,0
95,6,1,2.409638554,74.69879518,16.86746988,6.024096386,0,0,0
96,4,1,2.409638554,77.10843373,15.6626506,3.614457831,1.204819277,0,0
97,7,1,0,1.351351351,79.72972973,17.56756757,1.351351351,0,0
98,6,1,9.782608696,16.30434783,11.95652174,40.2173913,0,9.782608696,11.95652174
99,4,1,3.658536585,23.17073171,73.17073171,0,0,0,0
