V2,V3,V4,V5,V6,,
北京市,2014/11/24,94,良,PM2.5,,
天津市,2014/11/24,134,轻度污染,PM2.5,,
石家庄市,2014/11/24,163,中度污染,PM2.5,,
唐山市,2014/11/24,110,轻度污染,PM2.5,,
秦皇岛市,2014/11/24,69,良,PM10,,
邯郸市,2014/11/24,242,重度污染,PM2.5,,
邢台市,2014/11/24,229,重度污染,PM2.5,,
保定市,2014/11/24,193,中度污染,PM2.5,,
承德市,2014/11/24,102,轻度污染,PM10,,
沧州市,2014/11/24,107,轻度污染,PM2.5,,
廊坊市,2014/11/24,109,轻度污染,PM2.5,,
衡水市,2014/11/24,266,重度污染,PM2.5,,
张家口市,2014/11/24,52,良,SO2,,
太原市,2014/11/24,182,中度污染,PM2.5,,
大同市,2014/11/24,77,良,PM10,,
阳泉市,2014/11/24,215,重度污染,PM2.5,,
长治市,2014/11/24,237,重度污染,PM2.5,,
临汾市,2014/11/24,132,轻度污染,PM2.5,,
呼和浩特市,2014/11/24,93,良,PM10,,
包头市,2014/11/24,114,轻度污染,PM10,,
赤峰市,2014/11/24,86,良,SO2,,
鄂尔多斯市,2014/11/24,48,优,,,
沈阳市,2014/11/24,80,良,PM2.5,,
大连市,2014/11/24,104,轻度污染,PM2.5,,
鞍山市,2014/11/24,112,轻度污染,PM2.5,,
抚顺市,2014/11/24,73,良,PM2.5,,
本溪市,2014/11/24,87,良,PM2.5,,
丹东市,2014/11/24,78,良,PM2.5,,
锦州市,2014/11/24,63,良,SO2,,
营口市,2014/11/24,51,良,PM10,,
盘锦市,2014/11/24,64,良,PM2.5,,
葫芦岛市,2014/11/24,56,良,SO2,,
长春市,2014/11/24,79,良,PM2.5,,
吉林市,2014/11/24,97,良,PM2.5,,
哈尔滨市,2014/11/24,155,中度污染,PM2.5,,
齐齐哈尔市,2014/11/24,43,优,,,
大庆市,2014/11/24,53,良,PM2.5,,
牡丹江市,2014/11/24,88,良,PM2.5,,
上海市,2014/11/24,52,良,NO2,,
南京市,2014/11/24,37,优,,,
无锡市,2014/11/24,65,良,PM2.5,,
徐州市,2014/11/24,61,良,PM10,,
常州市,2014/11/24,35,优,,,
苏州市,2014/11/24,58,良,NO2,,
南通市,2014/11/24,43,优,,,
连云港市,2014/11/24,58,良,PM10,,
淮安市,2014/11/24,35,优,,,
盐城市,2014/11/24,46,优,,,
