"","B/AICHI/7/1998","B/ALGERIA/G-486/2010","B/ALGERIA/G486/2010","B/BANGKOK/163/1990","B/BANGLADESH/3333/2007","B/BANGLADESH/3333/2008","B/BARCELONA/143/2008","B/BEIJING/184/1993","B/BRISBANE/3/2007","B/EGYPT/144/2005","B/ENGLAND/145/2008","B/ESTONIA/55669/2011","B/FLORIDA/4/2006","B/FLORIDA/7/2004","B/FLORIDA/7/2005","B/GUANGDONG/120/2000","B/HARBIN/7/1994","B/HONG-KONG/3577/2012","B/HONGKONG/22/1989","B/JIANGSU/10/2003","B/JOHANNESBURG/69/2001","B/LUSAKA/270/1999","B/LUSAKA/432/1999","B/MASSACHUSETTS/2/2012","B/MIE/1/1993","B/NIEDERSACHSEN/1/2010","B/NOVOSIBIRSK/1/2012","B/SENDAI/114/2007","B/SERBIA/1894/2011","B/SHANGHAI/361/2002","B/SHIGA/T30/1998","B/SHIZUOKA/15/2001","B/SICHUAN/379/1999","B/STOCKHOLM/12/2011","B/VALLADOLID/18/2008","B/VICTORIA/502/2004","B/WISCONSIN/1/2010","B/YAMAGATA/16/1988","B/YAMAGATA/552/2001","B/YAMAGATA/K501/2001","B/YAMAGATA/K515/2001","B/YAMANASHI/166/1998"
"B/Aichi/1/1991_1991.0_x_x_YAM","128","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","512","256","*","256","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"B/Algeria/G486/2010_2010.0_x_x_YAM","*","*","640","*","160","*","*","*","320","160","320","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","80","*","*","*","*","*"
"B/Arizona/135/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*"
"B/Bangkok/163/1990_1990.0_x_x_YAM","*","*","*","2048","*","*","*","10","*","*","*","*","*","*","*","*","640","*","40","*","*","*","*","*","32","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*"
"B/Bangladesh/3333/2007_2007.0_x_x_YAM","*","*","40","*","80","*","10","*","160","40","20","10","5120","*","*","*","*","*","*","*","*","*","*","*","*","40","*","40","40","*","*","*","*","320","10","*","320","*","*","*","*","*"
"B/Barcelona/143/2008_2008.0_x_x_YAM","*","*","*","*","320","*","320","*","320","80","160","*","80","*","*","*","*","*","*","40","*","*","*","*","*","*","*","320","*","*","*","*","*","*","320","*","*","*","*","*","*","*"
"B/Beijing/184/1993_1993.0_x_x_YAM","*","*","*","20","*","*","*","320","*","*","*","*","*","*","*","*","640","*","10","*","*","*","*","*","160","*","*","*","*","*","*","*","320","*","*","*","*","<40","*","*","*","*"
"B/Brisbane/1/2008_2008.0_x_x_YAM","*","*","*","*","80","*","<10","*","640","80","40","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","10","*","*","*","*","*","*","*"
"B/Brisbane/3/2007_2007.0_x_x_YAM","*","*","40","*","320","*","10","*","640","160","40","320","640","320","*","*","*","320","*","20","*","*","*","1280","*","40","40","320","20","320","*","*","80","640","<10","*","80","*","*","*","*","*"
"B/Brisbane/4/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<40","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Brisbane/5/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<40","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Brisbane/9/2008_2008.0_x_x_YAM","*","*","*","*","80","*","10","*","160","40","40","*","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","10","*","*","*","*","*","*","*"
"B/Bucharest/795/2003_2003.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*"
"B/Chanthaburi/218/2003_2003.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*"
"B/Chelyabinsk/306/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","*","640","*","*","*","640","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","160","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Chongqing/18/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","*","80","*","*","160","160","*","*","*","*","*","10","*","*","*","*","*","*","*","*","*","80","*","*","<40","*","*","*","*","*","*","*","*","*"
"B/Colorado/4/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<40","*","*","*","*","*","*","*","*","*","320","*","*","320","*","*","*","*","*","*","*","*","*"
